"uuid","store_name","store_street","store_street2","store_city","store_state","store_zip","store_phone","Ycoord","Xcoord"
"69","WASILLA","810 County Rd 42 W","","Burnsville","MN","55337","","44.748987","-93.288661"
"70","WEST POTTSGROVE TWP","3440 W FM 544","","Wylie","TX","75098","","33.008927","-96.594054"
"71","ELGIN","2621 W Schaumburg Rd","","Schaumburg","IL","60194","","42.023416","-88.146179"
"72","CORONA","7025 Park Centre Dr","","Salt Lake City","UT","84121","","40.622569","-111.849652"
"73","ABINGDON","4037 Durham Chapel Hill Blvd","","Durham","NC","27707","","35.966413","-78.959105"
"74","DUMFRIES","10001 Commons St","","Lone Tree","CO","80124","","39.534928","-104.884326"
"75","IRONDEQUOIT","551 S Hover Rd","","Longmont","CO","80501","","40.157419","-105.13066"
"76","BESSEMER","120 W Grant St","","Orlando","FL","32806","","28.515619","-81.380099"
"77","SALT LAKE CITY","1265 Sgt Jon Stiles Dr","","Highlands Ranch","CO","80129","","39.549527","-105.005325"
"78","ELGIN","175 W Army Trail Rd","","Glendale Heights","IL","60139","","41.937086","-88.099356"
"79","CORONA","175 W Center St","","Orem","UT","84057","","40.295354","-111.698679"
"80","ABINGDON","13301 Gateway Center Dr","","Gainesville","VA","20155","","38.794145","-77.606858"
"81","TAMPA CENTRAL WALTERS CROSSING","301 Carroll St","","Fort Worth","TX","76107","","32.755593","-97.354497"
"82","IRONDEQUOIT","11150 S Twenty Mile Rd","","Parker","CO","80134","","39.513233","-104.772452"
"83","FLOWERY BRANCH","15560 Pilot Knob Rd","","Apple Valley","MN","55124","","44.723709","-93.175074"
"84","FARGO","4202 13th Ave SW","","Fargo","ND","58103","","46.861656","-96.85123"
"85","RICHMOND WEST","6111 Dobbin Rd","","Columbia","MD","21045","","39.197838","-76.812999"
"86","RENO SOUTH","751 Route 73 S","","Marlton","NJ","8053","","39.869966","-74.921965"
"87","DUMFRIES","2000 Bunker Lake Blvd NW","","Andover","MN","55304","","45.217651","-93.316387"
"88","AZUSA","2384 BRANDERMILL BLVD","","Gambrills","MD","21054","","39.034452","-76.682826"
"89","MINOT","4201 W Division St","","Saint Cloud","MN","56301","","45.553464","-94.210445"
"90","VERO BEACH","5622 Amanda Ln","","Orchard Park","NY","14127","","42.791946","-78.782999"
"91","SOMERVILLE","1 Mifflin St","","Philadelphia","PA","19148","","39.924181","-75.146049"
"92","LANCASTER EAST","2385 Covered Bridge Dr","","Lancaster","PA","17602","","40.026641","-76.20404"
"93","MIDDLETOWN","2030 NW 82nd Street","","Lawton","OK","73505","","34.630773","-98.492232"
"94","MINOT","35401 Warren Rd","","Westland","MI","48185","","42.337434","-83.390744"
"95","CARMEL","1600 E 151st Street","","Carmel","IN","46032","","40.007537","-86.128906"
"96","MISSION","6100 Broadmoor St","","Mission","KS","66202","","39.017928","-94.664928"
"97","LA PLATA","60 Shining Willow Way","","La Plata","MD","20646","","38.541151","-76.98175"
"98","MIDDLETOWN","7777 E Hampden Ave","","Denver","CO","80231","","39.654888","-104.900355"
"99","ROCHESTER","30020 Grand River Ave","","Farmington Hills","MI","48336","","42.450312","-83.341467"
"100","EXTON","857 Baltimore Pike","","Springfield","PA","19064","","39.915312","-75.334598"
"101","MCALLEN NORTH","130 State Route 10 Ste 1","","East Hanover","NJ","7936","","40.814458","-74.398102"
"102","HARRISBURG EAST","4600 High Pointe Blvd","","Harrisburg","PA","17111","","40.245818","-76.807371"
